식당이름,구분,평점,주소,영업시간,전화번호,리뷰수
육병장, 고기 요리,,서울시 송파구 잠실동 190-10,11:00 - 02:00,02-420-7155,18
밀각, 고기 요리,,서울시 송파구 가락동 80 성원쌍떼빌101동 116호,,02-409-9295,8
포항수산, 해산물 요리,,서울시 송파구 가락동 600 가락몰 5관 회센터 1F,00:00 - 24:00,02-408-8817,7
발재반점, 정통 중식 / 일반 중식,,서울시 송파구 신천동 7-30 잠실타워 730 B1,11:30 - 21:30,02-416-2018,7
카페보체, 카페 / 디저트,,서울시 송파구 잠실동 204-5,,010-5414-1199,5
바다나라, 해산물 요리,,서울시 송파구 가락동 600 농수산물도매시장,08:00 - 23:00,010-9184-4204,11
우직, 고기 요리,,서울시 송파구 방이동 201-7,,02-6083-0313,3
빅가이즈크랩, 해산물 요리,,서울시 송파구 잠실동 40-1 롯데백화점 잠실점 B1,11:30 - 22:30,02-2143-1775,7
탕, 탕 / 찌개 / 전골,,서울시 송파구 잠실동 207-19,17:00 - 01:00,02-412-9303,6
한방삼계탕, 탕 / 찌개 / 전골,,서울시 송파구 방이동 110-3,10:00 - 22:00,02-415-9909,6
맥주유소, 치킨 / 호프 / 펍,,서울시 송파구 송파동 30-3 1F,월-목: 18:00 - 01:00 금-토: 18:00 - 02:00 일: 17:00 - 01:00,02-2202-5545,12
마노디셰프, 이탈리안,,서울시 송파구 신천동 7-30  잠실타워730 B1,11:00 - 22:00,02-422-4300,7
밀회관, 닭 / 오리 요리,,서울시 송파구 방이동 70,17:00 - 03:00,02-2202-0120,7
카페 그리너티, 카페 / 디저트,,서울시 송파구 풍납동 150-13,,010-2992-1691,8
아타타카이, 라멘 / 소바 / 우동,,서울시 송파구 송파동 111-20,11:00 - 21:00,02-422-1805,4
한우리, 탕 / 찌개 / 전골,,서울시 송파구 잠실동 40-1 롯데백화점 잠실점 11F,11:30 - 22:00,02-419-9491,3
후리, 이자카야 / 오뎅 / 꼬치,,서울시 송파구 방이동 70-2 2F,,0507-1324-0528,3
역전식당, 고기 요리,,서울시 송파구 잠실동 190-6,일-목: 16:00 - 01:00 금-토: 16:00 - 02:00,02-2274-2345,5
명서식당, 회 / 스시,,서울시 송파구 잠실동 206-1,,070-8220-8660,4
주택가, 일반 주점,,서울시 송파구 잠실동 200-5 1F,월-금: 17:00 - 04:00 토-일: 16:00 - 04:00,010-4939-9529,8
빅바이츠, 치킨 / 호프 / 펍,,서울시 송파구 잠실동 200,17:00 - 01:00,02-424-1260,9
교동짬뽕, 정통 중식 / 일반 중식,,서울시 송파구 마천동 307-5,,02-402-0204,3
동일문, 칵테일 / 와인,,서울시 송파구 잠실동 210-1,,02-417-0719,3
놀부유황오리진흙구이, 닭 / 오리 요리,,서울시 송파구 방이동 109-10 1-2F,,02-425-5292,9
송추가마골인어반, 고기 요리,,서울시 송파구 신천동 7-30 타워730 B1,11:15 - 22:00,02-422-6446,7
프레타구떼, 카페 / 디저트,,서울시 송파구 송파동 30-3,10:00 - 22:00,070-7724-3107,7
화포식당, 고기 요리,,서울시 송파구 잠실동 250-5 파크인수,11:00 - 05:00,02-421-1971,4
등촌샤브칼국수, 탕 / 찌개 / 전골,,서울시 송파구 오금동 150-4,10:00 - 22:00,02-403-8300,10
만주, 이자카야 / 오뎅 / 꼬치,,서울시 송파구 방이동 60-5 2F,16:00 - 05:00,02-430-8090,6
르봉마리아쥬, 카페 / 디저트,,서울시 송파구 신천동 20-6 파크리오b상가,11:00 - 20:00,02-790-6718,9
찌마기, 해산물 요리,,서울시 송파구 문정동 99-10 장지빌딩,15:00 - 02:00,02-3402-0663,7
마초야, 까스 요리,,서울시 송파구 석촌동 280-8 1F,,02-412-1403,4
미스터포차나, 태국 음식,,서울시 송파구 문정동 620 송파 푸르지오시티상가 B1,,050-7987-7942,1
미성양꼬치, 기타 중식,,서울시 송파구 방이동 60-6,14:00 - 02:00,02-422-3358,8
소정식당, 해산물 요리,,서울시 송파구 가락동 600 가락몰 판매동 3F,00:00 - 24:00,02-409-9290,3
크로셰, 이탈리안,,서울시 송파구 가락동 140 B1,월-금: 09:00 - 22:00 토-일: 10:00 - 22:00,02-2043-2005,6
101번지남산돈까스, 기타 한식,,서울시 송파구 문정동 634,,02-2673-2015,6
미남프로젝트, 전통 주점 / 포차,,서울시 송파구 잠실동 206-19,18:00 - 04:00,010-9533-3880,5
화로백암순대, 탕 / 찌개 / 전골,,서울시 송파구 잠실동 208-6,,02-424-9674,4
라운징북스, 카페 / 디저트,,서울시 송파구 오금동 40-15,,070-8843-0827,4
반포6, 베트남 음식,,서울시 송파구 잠실동 40-1 11F,10:30 - 21:30,02-2143-1987,3
놀부유황오리진흙구이, 닭 / 오리 요리,,서울시 송파구 잠실동 180,10:00 - 22:00,02-431-5292,3
안주마을, 해산물 요리,,서울시 송파구 오금동 18-21,,02-448-8430,1
옹고집꽃게장, 한정식 / 백반 / 정통 한식,,서울시 송파구 문정동 111-10 1F,11:30 - 22:00,02-402-9380,9
72420, 베트남 음식,,서울시 송파구 송파동 51-10,,02-417-2420,7
도쿄이치바, 회 / 스시,,서울시 송파구 잠실동 40-1,,02-411-6085,6
7프로칠백식당, 고기 요리,,서울시 송파구 방이동 93-6 1F,17:00 - 23:30,02-417-7004,3
밀회관, 치킨 / 호프 / 펍,,서울시 송파구 가락동 83-20,,02-401-6608,2
레빵뺑, 베이커리,,서울시 송파구 잠실본동 320,08:00 - 22:00,02-414-9138,1
알라프리마, 이탈리안,4.8,서울시 강남구 논현동 42-6 1F,12:00 - 21:00,02-511-2555,76
미라이, 이자카야 / 오뎅 / 꼬치,4.8,서울시 강남구 신사동 557-25 끌레르빌 1F,18:00 - 01:00,02-540-0934,102
시라카와, 이자카야 / 오뎅 / 꼬치,4.8,서울시 강남구 신사동 664-24 1F,17:00 - 23:00,070-4115-4769,57
맛짱조개, 해산물 요리,4.8,서울시 강남구 논현동 114-14,17:00 - 04:00,02-516-4787,44
로바타탄요, 정통 일식 / 일반 일식,4.7,서울시 강남구 신사동 584-1 109호,17:00 - 22:00,02-6339-9667,82
가디록, 이탈리안,4.7,서울시 강남구 신사동 650-5 2F,12:00 - 22:00,02-6404-6815,45
소이연남마오, 태국 음식,4.7,서울시 강남구 신사동 665-9,11:30 - 02:00,02-545-5130,63
인딕 슬로우, 인도 음식,4.7,서울시 강남구 신사동 525-4 1F,11:30 - 22:00,02-511-0139,61
스시카나에, 회 / 스시,4.6,서울시 강남구 청담동 96-22 노노빌딩 2F,12:00 - 22:00,02-516-3350,81
파씨오네, 프랑스 음식,4.6,서울시 강남구 신사동 646-23,12:00 - 22:30,02-546-7719,136
BISTROT de YOUNTVILLE, 프랑스 음식,4.6,서울시 강남구 청담동 83-6 이안빌딩 1F,11:30 - 22:30,02-541-1550,143
이치에, 이자카야 / 오뎅 / 꼬치,4.6,서울시 강남구 신사동 656-7 2F,18:00 - 24:00,070-4273-4087,167
와라야키 쿠이신보, 이자카야 / 오뎅 / 꼬치,4.6,서울시 강남구 신사동 539 대화빌딩,월-목: 17:30 - 24:00 금-토: 17:30 - 02:00,02-546-9215,117
콴안다오, 베트남 음식,4.6,서울시 강남구 신사동 516-2 1F,11:00 - 22:00,02-512-1651,194
가담, 정통 중식 / 일반 중식,4.6,서울시 강남구 신사동 608-8 옥산빌딩,월-금: 11:00 - 22:00 토-일: 10:30 - 21:30,02-545-5163,129
껠끄쇼즈, 카페 / 디저트,4.6,서울시 강남구 대치동 1023-19,"월, 화",,127
스시키, 회 / 스시,4.6,서울시 강남구 역삼동 683-2 운경빌딩 1F,12:00 - 22:00,02-539-2008,39
스시 나미키, 회 / 스시,4.6,서울시 강남구 논현동 241-1 강남파라곤 S동 1F 103호,12:00 -21:50,02-6368-7953,41
농민백암왕순대, 탕 / 찌개 / 전골,4.6,서울시 강남구 역삼동 830-9,월-금: 11:10 - 21:00 토: 11:10 - 15:30,02-501-2772,246
보트르메종, 프랑스 음식,4.6,서울시 강남구 청담동 3 청담스퀘어 2F 224호,12:00 - 22:00,02-549-3800,43
슬로우치즈, 브런치 / 버거 / 샌드위치,4.6,서울시 강남구 청담동 11-1,11:30 - 20:00,02-517-7172,60
가온, 한정식 / 백반 / 정통 한식,4.6,서울시 강남구 신사동 651-24 호림아트센터 MF,17:30 - 23:00,02-545-9845,17
와려, 정통 일식 / 일반 일식,4.6,서울시 강남구 대치동 950-11 2F 2호,12:00 - 23:00,02-508-2648,16
쎄쎄종, 카페 / 디저트,4.6,서울시 강남구 논현동 99-21 주영빌딩 1F,"월, 화, 수, 일",,41
삐아프, 카페 / 디저트,4.6,서울시 강남구 신사동 523-31,12:00 - 19:30,02-545-0317,66
브라운브레드, 베이커리,4.6,서울시 강남구 도곡동 456-7,11:30 - 18:00,070-8658-1236,72
마이니치라멘, 라멘 / 소바 / 우동,4.6,서울시 강남구 삼성동 40-13 1F,,02-6952-3323,9
꼼다비뛰드, 베이커리,4.5,서울시 강남구 역삼동 622-2,목: 11:00 - 17:00 토: 11:00 - 17:00,070-4101-8456,143
지아니스나폴리, 이탈리안,4.5,서울시 강남구 역삼동 669-18 B1,11:30 - 22:30,02-566-0501,282
톡톡, 이탈리안,4.5,서울시 강남구 청담동 69-5 리유빌딩 3F,12:00 - 22:00,02-542-3030,159
진미평양냉면, 국수 / 면 요리,4.5,서울시 강남구 논현동 115-10,11:00 - 21:30,02-515-3469,292
중앙해장, 탕 / 찌개 / 전골,4.5,서울시 강남구 대치동 996-16 육인빌딩,월: 10:30 - 00:00 화-토: 00:00 - 24:00 일: 00:00 - 22:00,02-558-7905,280
스시선수, 회 / 스시,4.5,서울시 강남구 신사동 651-16,12:00 - 22:00,02-514-0812,92
길목, 고기 요리,4.5,서울시 강남구 삼성동 58-6,12:00 - 22:00,02-518-9710,113
갓포아키, 이자카야 / 오뎅 / 꼬치,4.5,서울시 강남구 신사동 651-5 쿠키빌딩,18:00 - 01:00,02-540-8669,133
젠제로, 카페 / 디저트,4.5,서울시 강남구 삼성동 10-18 예우빌딩,11:30 - 22:00,02-543-1261,181
칙피스, 세계음식 기타,4.5,서울시 강남구 신사동 540-18,11:30 - 22:00,02-6956-6780,164
있을재, 이탈리안,4.5,서울시 강남구 신사동 644-7,18:00 - 01:00,02-547-0606,44
보타르가, 이탈리안,4.5,서울시 강남구 신사동 644 1F,12:00 - 22:00,010-8558-5378,42
롸카두들내쉬빌핫치킨, 브런치 / 버거 / 샌드위치,4.5,서울시 강남구 신사동 646-8,11:30 - 21:30,02-3447-3456,86
카츠바이콘반, 까스 요리,4.5,서울시 강남구 신사동 647-22,11:30 - 20:30,02-547-3903,96
농민백암순대, 탕 / 찌개 / 전골,4.5,서울시 강남구 대치동 896-33,월-금: 11:10 - 21:00 토: 11:10 - 15:30,02-555-9603,174
다로베, 이탈리안,4.5,서울시 강남구 논현동 94-9 1F,11:30 - 22:00,02-3445-3666,67
페어링룸, 이탈리안,4.5,서울시 강남구 청담동 117-12 1F,11:00 - 24:00,010-3100-8861,73
시고로, 퓨전 양식,4.5,서울시 강남구 청담동 21-14 2F,수-금: 17:30 - 24:00 토: 12:00 - 24:00 일:12:00 - 22:00,02-6489-3338,30
르챔버, 칵테일 / 와인,4.5,서울시 강남구 청담동 83-4 B1,일: 19:00 - 02:00 월-목: 19:00 - 03:00 금-토: 19:00 - 04:00,02-6337-2014,95
쇼토, 베이커리,4.5,서울시 강남구 신사동 550-14 1F,12:00 - 21:00,02-512-3625,43
스기타마, 이자카야 / 오뎅 / 꼬치,4.5,서울시 강남구 청담동 7-27 101호,18:30 - 02:00,010-4760-8004,18
익스퀴진, 닭 / 오리 요리,4.5,서울시 강남구 청담동 63-11 라파빌딩,12:00 - 20:00,02-542-6921,18
신비갈비살, 고기 요리,4.5,서울시 강남구 신사동 508-9 1F,월-금: 17:00 - 03:00 토: 17:00 - 24:00,02-543-5992,18
청우참치, 회 / 스시,4.5,서울시 강남구 신사동 511-6,17:00 - 23:00,02-549-8356,16
신사치킨클럽, 다국적 아시아 음식,4.5,서울시 강남구 신사동 520-1,,02-508-8855,6
정식당, 퓨전 한식,4.4,서울시 강남구 청담동 83-24 2F,12:00 - 22:30,02-517-4654,191
리틀앤머치 (휴업중), 카페 / 디저트,4.4,서울시 강남구 삼성동 10-8 성림빌딩 1F,11:00 - 18:30,02-545-1023,235
비야게레로, 남미 음식,4.4,서울시 강남구 삼성동 118-21 101호,11:30 - 21:30,02-538-8915,301
정돈 프리미엄, 까스 요리,4.4,서울시 강남구 신사동 519-4,11:30 - 22:00,02-549-0924,218
장스테이크, 스테이크 / 바베큐,4.4,서울시 강남구 신사동 639 요한빌딩 5F,12:00 - 22:00,02-548-9621,146
경천애인 2237, 고기 요리,4.4,서울시 강남구 삼성동 142-46,월: 17:00 - 22:00 화-일: 11:30 - 22:00,02-553-2237,155
육전식당, 고기 요리,4.4,서울시 강남구 역삼동 823-10 신도빌딩 1F,11:30 - 23:00,02-3452-6373,141
부타이, 정통 일식 / 일반 일식,4.4,서울시 강남구 대치동 956-6 B1,11:30 - 21:00,02-544-8422,145
SOOT, 퓨전 양식,4.4,서울시 강남구 신사동 561-35,17:00 - 23:00,02-6401-0306,66
삼창교자, 딤섬 / 만두,4.4,서울시 강남구 신사동 517-34,11:30 - 22:00,02-542-5588,93
노란상소갈비, 고기 요리,4.4,서울시 강남구 논현동 112-7 1F,월-금: 11:30 - 23:00 토-일: 12:00 - 23:00,02-543-9290,72
권숙수, 한정식 / 백반 / 정통 한식,4.4,서울시 강남구 청담동 92-18 4F,12:00 - 22:30,02-542-6268,31
마르셀, 프랑스 음식,4.4,서울시 강남구 신사동 631-32,11:00 - 23:00,02-511-5975,58
대우부대찌개, 탕 / 찌개 / 전골,4.4,서울시 강남구 역삼동 641-18,월-금: 11:00 - 21:30 토-일: 11:30 - 21:30,02-552-1663,179
티톨로, 이탈리안,4.4,서울시 강남구 청담동 79-8 1F,18:00 - 02:00,02-6205-9998,50
모터시티, 기타 양식,4.4,서울시 강남구 역삼동 736-1 아크플레이스 어반스코트 1F,월-금: 11:00-21:30 토-일: 11:00-21:00,02-2051-8877,102
임프레션, 프랑스 음식,4.4,서울시 강남구 신사동 649-7 5F,17:30 - 22:00,02-6925-5522,28
라미띠에, 프랑스 음식,4.4,서울시 강남구 청담동 81-7 2F,12:00 - 22:30,02-546-9621,38
바게트K, 베이커리,4.4,서울시 강남구 역삼동 723-30,07:00 - 19:00,02-567-9501,62
테스트키친, 이탈리안,4.4,서울시 강남구 신사동 648-25 1F,11:00 - 23:00,010-5340-8861,60
켄, 정통 일식 / 일반 일식,4.4,서울시 강남구 신사동 631-28 2F,18:00 - 23:00,02-511-7809,18
압구정공주떡집, 카페 / 디저트,4.4,서울시 강남구 신사동 569-31,00:00 - 24:00,02-516-3643,116
페리지, 기타 양식,4.4,서울시 강남구 삼성동 114-40,,,13
원스타 올드패션드 햄버거, 브런치 / 버거 / 샌드위치,4.4,서울시 강남구 도곡동 424-11,11:30 - 20:30,02-578-4377,61
효도치킨, 닭 / 오리 요리,4.4,서울시 강남구 논현동 105-4 한진로즈힐아파트상가 101동 120호,월-토: 15:00 - 23:00 일: 14:00 - 22:00,02-518-0628,54
외고집설렁탕, 탕 / 찌개 / 전골,4.4,서울시 강남구 삼성동 120-8 알앤텍빌딩 1F,11:00 - 21:00,02-567-5225,129
어물전 청, 퓨전 한식,4.4,서울시 강남구 신사동 653-9 1F,17:00 - 22:00,010-4434-0488,14
효계, 닭 / 오리 요리,4.4,서울시 강남구 신사동 541-6 1F,월-토: 17:00 - 01:00,010-9295-9215,17
하나샤부정, 기타 일식,4.4,서울시 강남구 삼성동 152-9,11:30 - 22:00,02-538-7114,35
은화계, 닭 / 오리 요리,4.4,서울시 강남구 논현동 6-3,월-목: 17:00 - 24:00 금: 17:00 - 03:00 토: 16:00 - 03:00 일: 16:00 - 23:00,02-542-9992,16
뀌쏭82, 프랑스 음식,4.4,서울시 강남구 도곡동 453-16 아성빌딩 1F,화-토: 11:00 - 22:00 일: 11:00 - 21:30,02-529-3582,29
판동면옥, 국수 / 면 요리,4.4,서울시 강남구 대치동 904-11,11:00 - 22:00,02-783-4205,9
최가네버섯샤브매운탕칼국수, 탕 / 찌개 / 전골,4.4,서울시 강남구 신사동 655,11:00 - 22:00,02-547-7676,37
논현장어, 해산물 요리,4.4,서울시 강남구 논현동 121,월-토: 11:30 - 05:00 일: 11:30 - 23:00,02-512-9278,20
야키토리파노, 이자카야 / 오뎅 / 꼬치,4.4,서울시 강남구 신사동 657-40 1F,화-토: 19:00 - 03:00 일: 16:00 - 22:00,02-6952-5155,6
영동소금구이, 고기 요리,4.4,서울시 강남구 논현동 163 1F,16:00 - 01:00,02-547-6351,23
양궈푸마라탕, 정통 중식 / 일반 중식,4.4,서울시 강남구 역삼동 670-22 1F,,02-558-6678,4
골드피쉬딤섬퀴진, 딤섬 / 만두,4.3,서울시 강남구 신사동 657-5 투구빌딩 2F,11:00 - 22:00,02-511-5266,241
스시코우지, 회 / 스시,4.3,서울시 강남구 청담동 1-1 퍼스트빌딩 2F,12:00 - 22:00,02-541-6200,83
다운타우너, 브런치 / 버거 / 샌드위치,4.3,서울시 강남구 신사동 666-25 1F,11:30 - 21:30,070-8833-3696,293
랑꼬뉴, 카페 / 디저트,4.3,서울시 강남구 신사동 556-27,12:00 - 22:00,02-512-6767,123
밍글스, 퓨전 한식,4.3,서울시 강남구 청담동 94-6 힐탑빌딩 2F,12:00 - 22:30,02-515-7306,64
길버트버거앤프라이즈, 브런치 / 버거 / 샌드위치,4.3,서울시 강남구 신사동 545-3 B1,11:30 - 22:00,02-546-5453,292
리틀넥, 브런치 / 버거 / 샌드위치,4.3,서울시 강남구 신사동 653-7,10:30 - 21:00,0507-1400-1476,175
지아니스나폴리, 이탈리안,4.3,서울시 강남구 신사동 541-6 2F,11:30 - 22:30,02-3416-0316,226
송쉐프, 정통 중식 / 일반 중식,4.3,서울시 강남구 신사동 507-11,11:30 - 21:30,02-546-1178,141
파스토, 이탈리안,4.3,서울시 강남구 청담동 19-4 B1,12:00 - 23:00,02-515-6878,103
청담테라, 이탈리안,4.3,서울시 강남구 청담동 50-8 1F,12:00 - 22:00,02-549-8828,121
김수사, 회 / 스시,4.3,서울시 강남구 논현동 4-19 혜정빌딩 1F,11:30 - 22:00,02-542-5235,77
정돈, 까스 요리,4.3,서울시 강남구 역삼동 811-4 1F,11:30 - 22:00,02-563-0924,211
DOMA , 스테이크 / 바베큐,4.3,서울시 강남구 도곡동 423-10 B1,11:00 - 22:00,02-6925-4894,93
볼피노리스토란테, 이탈리안,4.3,서울시 강남구 신사동 650-12,12:00 - 22:30,010-2249-1571,112
우마텐, 돈부리 / 일본 카레 / 벤토,4.3,서울시 강남구 신사동 661-10 B1,11:30 - 22:00,02-548-5833,159
파불라, 정통 중식 / 일반 중식,4.3,서울시 강남구 청담동 100 루미안빌딩 1F,11:30 - 22:00,02-517-2852,89
봉밀가, 국수 / 면 요리,4.3,서울시 강남구 삼성동 8-1,11:30 - 22:00,02-546-2305,88
모찌방, 카페 / 디저트,4.3,서울시 강남구 대치동 905-21,11:30 - 19:30,070-4007-6851,76
136길육미, 퓨전 일식,4.3,서울시 강남구 논현동 107-34 2F,월-금: 11:30 - 21:00 토: 18:00 - 22:00,02-542-8899,108
뜨락, 고기 요리,4.3,서울시 강남구 청담동 130-13,11:00 - 23:00,02-543-2987,54
능라도, 국수 / 면 요리,4.3,서울시 강남구 삼성동 151-7 1F,11:20 - 21:30,02-569-8939,131
크라이치즈버거, 브런치 / 버거 / 샌드위치,4.3,서울시 강남구 대치동 996-17 미래에셋벤처타워,11:00 - 21:30,02-566-6244,162
묵전, 전통 주점 / 포차,4.3,서울시 강남구 신사동 645-11,월-토: 11:30 - 02:00 일: 11:30 - 23:00,02-548-1461,159
파티세리바이가루하루 , 카페 / 디저트,4.3,서울시 강남구 역삼동 670-17 1F,,02-538-8090,74
홍명, 정통 중식 / 일반 중식,4.3,서울시 강남구 논현동 37-9,11:00 - 21:00,02-548-2223,111
메종드라카테고리, 프랑스 음식,4.3,서울시 강남구 청담동 85 송은아트스페이스,11:30 - 22:00,02-545-6640,100
오스테리아꼬또, 이탈리안,4.3,서울시 강남구 신사동 624-20,11:30 - 22:00  ,02-518-1962,73
허머스키친, 세계음식 기타,4.3,서울시 강남구 삼성동 159-8,11:00 - 22:00,02-3453-6811,107
뽕나무쟁이, 고기 요리,4.3,서울시 강남구 대치동 896-5 1F,월-토: 12:00 - 24:00 일: 12:00 - 22:00,02-558-9279,238
야사이마끼 쿠이신보, 이자카야 / 오뎅 / 꼬치,4.3,서울시 강남구 신사동 539-1,월-목: 17:30 - 01:00 금-토: 17:30 - 02:00,010-9498-9215,27
야키토리 쿠이신보, 이자카야 / 오뎅 / 꼬치,4.3,서울시 강남구 청담동 83-7,화-목: 17:30 - 01:00 금-토: 17:30 - 02:00,02-3445-9215,20
우가, 고기 요리,4.3,서울시 강남구 신사동 653-20 B1,12:00 - 22:00,02-6272-2223,44
파넬카페, 브런치 / 버거 / 샌드위치,4.3,서울시 강남구 신사동 649-2 1-2F,10:00 - 22:00,02-511-6492,72
스쿠로, 칵테일 / 와인,4.3,서울시 강남구 신사동 544-21 1F,수-토: 18:00-02:00 일-화: 18:00-24:00,02-511-1731,56
벽돌 Happy Food, 정통 중식 / 일반 중식,4.3,서울시 강남구 신사동 655 1F,12:00 - 22:00,02-514-0200,63
무오키, 프랑스 음식,4.3,서울시 강남구 청담동 38-4,12:00 - 22:00,010-2948-4171,27
야스노야지로, 기타 일식,4.3,서울시 강남구 신사동 569-25 1F,17:00 - 22:00,02-515-0818,27
테일러커피, 카페 / 디저트,4.3,서울시 강남구 신사동 521-17 1F,10:00 - 23:00,02-511-0355,88
목포집, 탕 / 찌개 / 전골,4.3,서울시 강남구 신사동 514-3,11:30 - 24:00,02-549-5119,194
백곰막걸리앤양조장, 전통 주점 / 포차,4.3,서울시 강남구 신사동 657-7,월-목: 17:00 - 24:00 금-토: 17:00 - 01:30,02-540-7644,56
치즈룸, 이탈리안,4.3,서울시 강남구 신사동 603 안다즈호텔 B1 112호,10:00 - 22:30,010-6700-8861,49
고갯마루집, 닭 / 오리 요리,4.3,서울시 강남구 역삼동 725-12,11:00 - 22:00,02-3476-7006,125
모노로그, 회 / 스시,4.3,서울시 강남구 논현동 10-7,월-화: 19:00 - 24:00 수: 12:00 - 24:00 목: 19:00 - 24:00 금-토: 12:00 - 24:00,02-545-9996,18
이도곰탕, 탕 / 찌개 / 전골,4.3,서울시 강남구 역삼동 671-17,월: 10:00 - 24:00 화-토: 00:00 - 24:00 일: 00:00 - 21:00 ,02-569-0524,114
세드라, 베이커리,4.3,서울시 강남구 대치동 900-16,11:00 - 20:00,02-6349-7171,49
살루쪼, 이탈리안,4.3,서울시 강남구 삼성동 38-3,11:30 - 22:00,02-516-8487,41
스시장종현, 회 / 스시,4.3,서울시 강남구 청담동 121-30 2F,,,11
스시타츠, 정통 일식 / 일반 일식,4.3,서울시 강남구 논현동 8-6 청림빌딩 1F,12:00 - 22:00,02-514-3336,32
땅코참숯구이, 고기 요리,4.3,서울시 강남구 역삼동 835,16:00 - 23:00,02-562-2009,47
양식당더램키친, 고기 요리,4.3,서울시 강남구 신사동 529-6,월-금: 18:00 - 24:00 토-일: 18:00 - 23:00,02-3445-9283,67
갓포아키, 이자카야 / 오뎅 / 꼬치,4.3,서울시 강남구 대치동 995-16 글래드코엑스센터 B2,18:00 - 01:00,02-6203-8660,43
몰타참치, 회 / 스시,4.3,서울시 강남구 대치동 891-46,11:30 - 23:00,02-508-7861,42
알고기, 고기 요리,4.3,서울시 강남구 청담동 80-17,17:00 - 23:30,02-3446-6925,22
고급오복수산, 정통 일식 / 일반 일식,4.3,서울시 강남구 신사동 603 B1,11:30 - 21:30,02-545-9955,48
씨네드쉐프, 프랑스 음식,4.3,서울시 강남구 신사동 602 CGV신관 B5,11:30 - 22:00,02-3446-0541,32
함지곱창, 고기 요리,4.3,서울시 강남구 논현동 144-5,14:30 - 01:30,02-3444-6919,80
로만테이, 이자카야 / 오뎅 / 꼬치,4.3,서울시 강남구 신사동 656 신우빌딩,18:00 - 24:00,070-7722-7308,25
테라스룸, 퓨전 양식,4.3,서울시 강남구 청담동 90-19 올리브빌딩 2F,월 : 11:30 - 18:00 화-목: 11:30 - 02:00 금-토: 11:30 - 03:00 일 : 11:30 - 02:00,02-516-1015,28
명랑회관, 고기 요리,4.3,서울시 강남구 대치동 895-1,월-금: 11:30 - 23:00 토-일: 12:00- 23:00,02-565-2662,30
와슈다이닝 슈토, 이자카야 / 오뎅 / 꼬치,4.3,서울시 강남구 논현동 81-10,18:00 - 01:00,02-6013-0214,11
강남진해장, 탕 / 찌개 / 전골,4.3,서울시 강남구 역삼동 819-4,월: 08:00 - 24:00 화-토: 00:00 - 24:00 일: 00:00 - 22:00,02-557-2662,70
강정이넘치는집, 카페 / 디저트,4.3,서울시 강남구 청담동 46-16,월-금: 07:00 - 22:00 토-일: 09:00 - 22:00,02-2201-0447,23
더라운드, 정통 중식 / 일반 중식,4.3,서울시 강남구 청담동 3-16 1F,월-토: 11:30 - 22:00 일: 11:30 - 21:30,02-545-4448,26
사녹, 퓨전 양식,4.3,서울시 강남구 신사동 642-14 2F,17:30 - 24:00,010-6456-1617,19
램브라튼, 스테이크 / 바베큐,4.3,서울시 강남구 신사동 524-28 1F,17:30 - 23:30,02-545-4191,52
우정양곱창, 고기 요리,4.3,서울시 강남구 논현동 67-11,16:30 - 22:00,02-6083-5830,28
투뿔등심고담, 고기 요리,4.3,서울시 강남구 삼성동 154-10 융전빌딩 B1,11:30 - 22:00,02-568-7710,34
인량, 기타 중식,4.3,서울시 강남구 논현동 21-16 비피유빌딩 B1,화-금: 11:30 - 22:00 토-일: 11:30 - 22:00,02-516-8777,24
음, 기타 일식,4.3,서울시 강남구 논현동 11-5,17:00 - 24:00,02-540-4777,27
돌곰네, 해산물 요리,4.3,서울시 강남구 논현동 105,12:00 - 04:00,02-3446-2928,49
우제홍참치, 회 / 스시,4.3,서울시 강남구 논현동 164-16 2F,17:00 - 24:00,02-517-1268,26
신동궁감자탕뼈숯불구이, 탕 / 찌개 / 전골,4.3,서울시 강남구 대치동 890-44,00:00 - 24:00,02-558-7944,59
현우동, 라멘 / 소바 / 우동,4.3,서울시 강남구 논현동 11-1,11:30 - 22:00,02-515-3622,35
더페이머스버거, 브런치 / 버거 / 샌드위치,4.3,서울시 강남구 신사동 513-4,11:30 - 21:30,02-6012-0811,32
갓포치유, 정통 일식 / 일반 일식,4.3,서울시 강남구 신사동 647-2,월-목: 18:00 - 24:00 금-토: 18:00 - 01:00,070-7750-5585,16
양재초밥, 회 / 스시,4.3,서울시 강남구 도곡동 450 102호,11:30 - 22:00,02-6104-9620,18
우밀면옥, 국수 / 면 요리,4.3,서울시 강남구 역삼동 701,10:00 - 22:00,02-558-3770,18
유명한참숯닭갈비, 닭 / 오리 요리,4.3,서울시 강남구 역삼동 834-58,월-금: 11:30 - 24:00 토-일: 17:00 - 23:00,02-552-9282,23
오마치슌, 정통 일식 / 일반 일식,4.3,서울시 강남구 대치동 900-18,16:00 - 03:00,02-557-1833,12
별양집, 고기 요리,4.3,서울시 강남구 역삼동 700-33,12:00 - 04:00,02-501-2937,24
팔식당, 고기 요리,4.3,서울시 강남구 청담동 50-11,11:00 - 23:00,010-9414-2556,7
강정희간장새우, 해산물 요리,4.3,서울시 강남구 대치동 900-4,12:00 - 22:00,02-562-6464,15
해남집, 해산물 요리,4.3,서울시 강남구 신사동 508-3,월-금: 11:30 - 22:00 토: 11:30 - 21:00,02-543-7244,10
